	ULDM4.ULDM4	U6475.U6475	ILDM4.ILDM4	I6475.I6475	I17938.I17938	ULDM.U6475	ILDM.I6475	ILDM.I17938	I6475.I17938
ULDM4.ULDM4	NA	0.097776935	0.17142295	0.223683159	0.260535382	2.47E-01	5.51E-01	4.20E-01	2.92E-01
U6475.U6475	0.097776935	NA	0.073646015	0.125906223	0.162758447	0.149221964	4.54E-01	3.23E-01	0.194306567
ILDM4.ILDM4	0.17142295	0.073646015	NA	0.052260209	0.089112432	7.56E-02	3.80E-01	2.49E-01	1.21E-01
I6475.I6475	0.223683159	0.125906223	0.052260209	NA	0.036852224	0.023315741	0.327595669	0.196687603	0.068400344
I17938.I17938	0.260535382	0.162758447	0.089112432	0.036852224	NA	0.013536483	0.290743446	0.15983538	0.03154812
ULDM.U6475	2.47E-01	0.149221964	7.56E-02	0.023315741	0.013536483	NA	3.04E-01	0.173371862	0.045084603
ILDM.I6475	5.51E-01	4.54E-01	3.80E-01	0.327595669	0.290743446	3.04E-01	NA		2.59E-01
ILDM.I17938	4.20E-01	3.23E-01	2.49E-01	0.196687603	0.15983538	0.173371862	0.130908066	0.130908066	0.12828726
I6475.I17938	2.92E-01	0.194306567	1.21E-01	0.068400344	0.03154812	0.045084603	2.59E-01	0.12828726	NA
