	ULDM4.ULDM4	U6475.U6475	ILDM4.ILDM4	I6475.I6475	I17938.I17938	ULDM.U6475	ILDM.I6475	ILDM.I17938	I6475.I17938
ULDM4.ULDM4	NA	0.00059	0.029	0.00095	3.80E-08	1.70E-17	1.40E-12	3.90E-07	3.70E-07
U6475.U6475	0.27	NA	0.84	0.66	0.12	0.013	2.20E-10	1.10E-06	0.007
ILDM4.ILDM4	0.00059	0.84	NA	1	0.84	1.90E-01	6.50E-11	7.50E-06	1.30E-01
I6475.I6475	0.029	0.66	1	NA	1	0.00031	0.12	1	1
I17938.I17938	0.00095	0.12	0.84	1	NA	1	0.00029	0.1	1
ULDM.U6475	3.80E-08	0.013	1.90E-01	0.00031	1	NA	2.20E-10	0.00036	1
ILDM.I6475	1.70E-17	2.20E-10	6.50E-11	0.12	0.00029	2.20E-10	NA	0.09	2.20E-05
ILDM.I17938	1.40E-12	1.10E-06	7.50E-06	1	0.1	0.00036	0.09	NA	0.14
I6475.I17938	3.90E-07	0.007	1.30E-01	1	1	1	2.20E-05	0.14	NA
