"X","ULDMA_1","ULDMA_2","ULDMA_3","ULDMB_1","ULDMB_2","ULDMB_3","U6475A_1","U6475A_2","U6475A_3","U6475B_1","U6475B_2","U6475B_3","ILDMA_1","ILDMA_2","ILDMA_3","ILDMB_1","ILDMB_2","ILDMB_3","I6475A_1","I6475A_2","I6475A_3","I6475B_1","I6475B_2","I6475B_3","I1793A_1","I1793A_2","I1793A_3","I1793B_1","I1793B_2","I1793B_3"
"induction_","uninduced","uninduced","uninduced","uninduced","uninduced","uninduced","uninduced","uninduced","uninduced","uninduced","uninduced","uninduced","induced","induced","induced","induced","induced","induced","induced","induced","induced","induced","induced","induced","induced","induced","induced","induced","induced","induced"
"treatment_","LDM","LDM","LDM","LDM","LDM","LDM","Lreu6475","Lreu6475","Lreu6475","Lreu6475","Lreu6475","Lreu6475","LDM","LDM","LDM","LDM","LDM","LDM","Lreu6475","Lreu6475","Lreu6475","Lreu6475","Lreu6475","Lreu6475","Lreu1793","Lreu1793","Lreu1793","Lreu1793","Lreu1793","Lreu1793"
"treatmentreplicate_","LDMA","LDMA","LDMA","LMDB","LMDB","LMDB","Lreu6475A","Lreu6475A","Lreu6475A","Lreu6475B","Lreu6475B","Lreu6475B","LDMA","LDMA","LDMA","LMDB","LMDB","LMDB","Lreu6475A","Lreu6475A","Lreu6475A","Lreu6475B","Lreu6475B","Lreu6475B","Lreu1793A","Lreu1793A","Lreu1793A","Lreu1793B","Lreu1793B","Lreu1793B"
"replicate_","A","A","A","B","B","B","A","A","A","B","B","B","A","A","A","B","B","B","A","A","A","B","B","B","A","A","A","B","B","B"
"treatmentinduction_","ULDM","ULDM","ULDM","ULDM","ULDM","ULDM","U6475","U6475","U6475","U6475","U6475","U6475","ILDM","ILDM","ILDM","ILDM","ILDM","ILDM","I6475","I6475","I6475","I6475","I6475","I6475","I1793","I1793","I1793","I1793","I1793","I1793"
